LINC,Listing_Number,Address,Community,Property_Type,Bedrooms,Bathrooms,Listing_Price,Year_Built,Square_Feet,Latitude,Longitude
LINC-100833,CGL-200833,"1606 17 Ave SW, Calgary, AB",Signal Hill,Townhouse,2,3.9,919078,1965,3400,50.905405,-114.13964
LINC-100834,CGL-200834,"2065 17 Ave SW, Calgary, AB",Seton,Townhouse,2,2.1,1050962,2022,1256,51.01996,-114.15444
LINC-100835,CGL-200835,"1916 Elbow Dr SW, Calgary, AB",Brentwood,Condo,3,2.4,329392,2008,1632,51.002565,-113.9294
LINC-100836,CGL-200836,"7095 Elbow Dr SW, Calgary, AB",Panorama Hills,Condo,3,1.5,327591,1985,755,51.158245,-113.91424
LINC-100837,CGL-200837,"6371 Centre St N, Calgary, AB",Tuscany,Detached,3,3.9,527521,1972,2304,50.92119,-113.90004
LINC-100839,CGL-200839,"8957 Memorial Dr NE, Calgary, AB",Mahogany,Detached,5,2.9,713031,1983,923,51.00407,-113.91636
LINC-100840,CGL-200840,"671 17 Ave SW, Calgary, AB",Beltline,Townhouse,3,3.3,269676,2013,1109,50.904635,-114.16576
LINC-100842,CGL-200842,"160 Crowchild Trail NW, Calgary, AB",Panorama Hills,Condo,4,2.3,1135049,1958,2712,51.168955,-114.11944
LINC-100843,CGL-200843,"3800 17 Ave SW, Calgary, AB",Mahogany,Townhouse,4,1.4,811307,1995,1865,50.850105,-114.13596
LINC-100844,CGL-200844,"5061 Centre St N, Calgary, AB",Beltline,Townhouse,1,2.1,1144794,1993,829,51.06679,-114.12856
LINC-100845,CGL-200845,"7630 Memorial Dr NE, Calgary, AB",Seton,Condo,2,1.5,291241,1999,3206,51.18985,-113.9222
LINC-100846,CGL-200846,"3229 MacLeod Trail SE, Calgary, AB",Panorama Hills,Condo,1,2.9,626712,2012,847,51.121915,-114.15584
LINC-100847,CGL-200847,"7275 Elbow Dr SW, Calgary, AB",Brentwood,Detached,1,1.6,1004701,1980,2503,50.9585,-114.07548
LINC-100848,CGL-200848,"6469 17 Ave SW, Calgary, AB",Seton,Townhouse,3,2.5,1124774,2007,567,50.92315,-114.12828
LINC-100849,CGL-200849,"706 MacLeod Trail SE, Calgary, AB",Beltline,Condo,1,2.2,471960,2016,2377,50.89354,-114.03988
LINC-100850,CGL-200850,"8891 8 Ave NE, Calgary, AB",Panorama Hills,Townhouse,2,3.8,288669,1968,2502,50.86715,-113.9304
LINC-100851,CGL-200851,"412 Centre St N, Calgary, AB",Signal Hill,Detached,2,3.1,386878,1951,1205,51.08793,-114.0524
LINC-100852,CGL-200852,"918 MacLeod Trail SE, Calgary, AB",Seton,Detached,4,2.8,1125930,1958,935,50.86463,-114.03188
LINC-100853,CGL-200853,"1970 Centre St N, Calgary, AB",Signal Hill,Townhouse,2,1.2,462484,2004,1881,51.078935,-114.14016
LINC-100854,CGL-200854,"6686 MacLeod Trail SE, Calgary, AB",Beltline,Townhouse,5,2.6,587211,1977,686,50.927245,-114.20644
LINC-100855,CGL-200855,"9817 8 Ave NE, Calgary, AB",Tuscany,Detached,1,1.8,1044348,2003,1188,51.19594,-114.25528
LINC-100856,CGL-200856,"6160 Crowchild Trail NW, Calgary, AB",Brentwood,Condo,2,3.8,292675,1967,909,50.89781,-114.14456
LINC-100857,CGL-200857,"6262 Memorial Dr NE, Calgary, AB",Brentwood,Detached,4,1.2,257574,1972,865,51.008865,-113.97484
LINC-100858,CGL-200858,"9827 MacLeod Trail SE, Calgary, AB",Mahogany,Townhouse,4,3.1,466174,1968,3120,50.856125,-114.15948
LINC-100859,CGL-200859,"4539 Crowchild Trail NW, Calgary, AB",Mahogany,Condo,2,3.8,890195,1954,2942,51.138715,-114.25856
LINC-100860,CGL-200860,"3049 Elbow Dr SW, Calgary, AB",Mahogany,Townhouse,1,2.9,1070597,1988,1924,50.931445,-114.1526
LINC-100861,CGL-200861,"6961 17 Ave SW, Calgary, AB",Signal Hill,Detached,2,1.4,805953,1962,3035,50.87968,-113.92184
LINC-100862,CGL-200862,"6029 Memorial Dr NE, Calgary, AB",Seton,Townhouse,5,1.7,1057750,1976,1632,50.91895,-114.22716
LINC-100863,CGL-200863,"969 8 Ave NE, Calgary, AB",Beltline,Detached,4,2.5,417520,1955,721,51.08863,-114.22436
LINC-100864,CGL-200864,"6066 MacLeod Trail SE, Calgary, AB",Brentwood,Condo,3,2.0,1094264,2008,677,51.095455,-114.21484
LINC-100865,CGL-200865,"1810 Elbow Dr SW, Calgary, AB",Beltline,Townhouse,2,1.5,280477,2012,2609,51.192685,-114.07816
LINC-100866,CGL-200866,"2001 17 Ave SW, Calgary, AB",Brentwood,Townhouse,4,2.8,591806,2003,1314,51.08499,-114.24208
LINC-100867,CGL-200867,"5436 8 Ave NE, Calgary, AB",Seton,Detached,3,1.7,498636,2002,1319,51.066055,-114.14828
LINC-100868,CGL-200868,"6252 8 Ave NE, Calgary, AB",Beltline,Condo,5,2.5,1183745,2005,1093,51.042675,-114.08732
LINC-100869,CGL-200869,"3641 Crowchild Trail NW, Calgary, AB",Mahogany,Detached,4,2.1,729975,1974,3088,51.083135,-113.9476
LINC-100870,CGL-200870,"5975 MacLeod Trail SE, Calgary, AB",Brentwood,Condo,2,1.1,846289,1957,1649,50.99546,-114.15056
LINC-100871,CGL-200871,"2336 17 Ave SW, Calgary, AB",Seton,Condo,4,2.3,1047273,1993,1400,51.008375,-114.13448
LINC-100872,CGL-200872,"4935 Crowchild Trail NW, Calgary, AB",Brentwood,Townhouse,5,3.7,856204,2020,1440,50.898405,-113.9502
LINC-100873,CGL-200873,"1516 Centre St N, Calgary, AB",Seton,Townhouse,4,3.6,476956,2010,2395,51.131085,-114.17232
LINC-100874,CGL-200874,"4673 17 Ave SW, Calgary, AB",Panorama Hills,Condo,2,1.7,705342,1978,2923,51.18355,-114.10124
LINC-100875,CGL-200875,"2540 Crowchild Trail NW, Calgary, AB",Beltline,Condo,1,1.1,743515,2014,637,51.062555,-113.99228
LINC-100876,CGL-200876,"7074 Crowchild Trail NW, Calgary, AB",Mahogany,Condo,1,2.4,502194,1960,2787,51.10368,-113.91572
LINC-100877,CGL-200877,"303 Elbow Dr SW, Calgary, AB",Panorama Hills,Condo,2,1.4,560158,1980,3152,50.89109,-114.14576
LINC-100878,CGL-200878,"1586 17 Ave SW, Calgary, AB",Mahogany,Townhouse,3,1.5,731592,2023,2890,51.079355,-114.06632
LINC-100879,CGL-200879,"499 Centre St N, Calgary, AB",Mahogany,Detached,4,1.6,1163888,1997,3067,51.044355,-114.10252
LINC-100880,CGL-200880,"7707 Elbow Dr SW, Calgary, AB",Panorama Hills,Detached,1,2.2,974304,1992,2674,50.903935,-114.0002
LINC-100881,CGL-200881,"635 MacLeod Trail SE, Calgary, AB",Mahogany,Condo,5,2.6,1083071,1976,3304,50.95346,-113.977
LINC-100882,CGL-200882,"1426 Crowchild Trail NW, Calgary, AB",Tuscany,Townhouse,1,2.5,957424,1996,711,50.872645,-114.07508
LINC-100883,CGL-200883,"1918 Centre St N, Calgary, AB",Tuscany,Condo,5,1.1,634232,1972,3154,51.106585,-114.09896
LINC-100884,CGL-200884,"9255 Elbow Dr SW, Calgary, AB",Beltline,Townhouse,2,1.4,601199,1980,2710,51.06539,-113.97844
LINC-100885,CGL-200885,"1960 Elbow Dr SW, Calgary, AB",Mahogany,Townhouse,5,3.6,986984,1976,1423,51.08086,-114.26132
LINC-100886,CGL-200886,"5350 MacLeod Trail SE, Calgary, AB",Tuscany,Townhouse,4,1.8,316447,1997,1914,50.85756,-113.9318
LINC-100887,CGL-200887,"7512 Centre St N, Calgary, AB",Signal Hill,Townhouse,1,2.4,807742,2018,1697,50.90208,-114.17988
LINC-100888,CGL-200888,"7505 Crowchild Trail NW, Calgary, AB",Tuscany,Townhouse,1,1.6,1176919,2008,857,51.172455,-114.13236
LINC-100889,CGL-200889,"1413 Centre St N, Calgary, AB",Brentwood,Condo,1,1.3,539346,1964,3355,51.135425,-114.1012
LINC-100890,CGL-200890,"2524 Centre St N, Calgary, AB",Brentwood,Detached,5,3.9,273792,1987,2206,50.8822,-114.06964
LINC-100891,CGL-200891,"8970 8 Ave NE, Calgary, AB",Mahogany,Condo,4,2.3,926000,1952,1694,51.05356,-114.12052
LINC-100892,CGL-200892,"3197 17 Ave SW, Calgary, AB",Beltline,Detached,5,2.9,681690,1993,3185,51.19916,-113.99512
LINC-100893,CGL-200893,"5446 Centre St N, Calgary, AB",Signal Hill,Townhouse,5,3.5,716885,2008,1745,51.15135,-114.03364
LINC-100894,CGL-200894,"9393 8 Ave NE, Calgary, AB",Seton,Condo,2,3.4,487798,2011,2023,51.08905,-114.2388
LINC-100895,CGL-200895,"4820 Memorial Dr NE, Calgary, AB",Seton,Detached,2,2.1,728073,1971,3033,51.13476,-114.28824
LINC-100896,CGL-200896,"2734 Elbow Dr SW, Calgary, AB",Signal Hill,Condo,2,3.9,1130103,1969,1160,50.91524,-114.04004
LINC-100897,CGL-200897,"3997 17 Ave SW, Calgary, AB",Beltline,Condo,5,1.4,523056,1997,1255,51.039315,-114.03144
LINC-100898,CGL-200898,"3461 Crowchild Trail NW, Calgary, AB",Panorama Hills,Detached,3,3.9,405130,1997,2336,51.080755,-114.21232
LINC-100899,CGL-200899,"8945 8 Ave NE, Calgary, AB",Signal Hill,Condo,1,3.8,674214,2013,1095,51.12979,-114.19168
LINC-100900,CGL-200900,"7604 MacLeod Trail SE, Calgary, AB",Brentwood,Detached,5,3.9,597372,1987,2441,50.93015,-114.10108
LINC-100901,CGL-200901,"4848 Memorial Dr NE, Calgary, AB",Signal Hill,Townhouse,2,3.4,1013933,2006,1887,50.8584,-113.93016
LINC-100902,CGL-200902,"1940 Elbow Dr SW, Calgary, AB",Mahogany,Detached,2,3.0,372553,1989,601,50.917865,-114.23308
LINC-100903,CGL-200903,"6680 Crowchild Trail NW, Calgary, AB",Seton,Detached,4,2.1,592220,1957,2990,50.96312,-114.27128
LINC-100904,CGL-200904,"3297 Crowchild Trail NW, Calgary, AB",Signal Hill,Detached,3,1.6,337649,2018,2324,51.0649,-114.23344
LINC-100905,CGL-200905,"1531 Crowchild Trail NW, Calgary, AB",Mahogany,Detached,4,2.0,884470,2015,729,50.90978,-113.97552
LINC-100906,CGL-200906,"6015 Centre St N, Calgary, AB",Brentwood,Townhouse,4,2.1,640941,1951,1665,50.969035,-114.014
LINC-100907,CGL-200907,"5751 MacLeod Trail SE, Calgary, AB",Tuscany,Condo,5,1.3,1013209,2006,2202,50.850595,-114.17304
LINC-100908,CGL-200908,"7349 MacLeod Trail SE, Calgary, AB",Brentwood,Townhouse,4,3.2,684313,1967,2905,50.97467,-114.02924
LINC-100909,CGL-200909,"9896 17 Ave SW, Calgary, AB",Brentwood,Detached,3,2.4,1159666,2017,1873,50.96508,-114.082
LINC-100910,CGL-200910,"1183 Crowchild Trail NW, Calgary, AB",Seton,Condo,1,1.0,919836,1984,2197,50.96186,-114.00352
LINC-100912,CGL-200912,"6354 MacLeod Trail SE, Calgary, AB",Signal Hill,Condo,1,3.5,566662,1988,2523,51.13784,-114.25112
LINC-100913,CGL-200913,"9263 Elbow Dr SW, Calgary, AB",Mahogany,Detached,1,3.4,411505,1983,1729,50.892525,-114.21492
LINC-100914,CGL-200914,"7842 17 Ave SW, Calgary, AB",Panorama Hills,Townhouse,3,2.3,765780,1981,616,51.021955,-114.035
LINC-100916,CGL-200916,"7244 Memorial Dr NE, Calgary, AB",Tuscany,Townhouse,4,3.9,1108029,1965,2028,51.07897,-113.93676
LINC-100917,CGL-200917,"8497 Elbow Dr SW, Calgary, AB",Signal Hill,Detached,3,1.5,311352,1968,1809,51.18425,-114.23784
LINC-100918,CGL-200918,"7653 Elbow Dr SW, Calgary, AB",Brentwood,Condo,2,1.2,628707,2003,3106,50.93057,-114.29188
LINC-100919,CGL-200919,"5932 17 Ave SW, Calgary, AB",Tuscany,Condo,5,2.9,330558,2015,1293,51.18635,-114.08536
LINC-100920,CGL-200920,"3102 Memorial Dr NE, Calgary, AB",Beltline,Townhouse,2,2.6,1164822,1990,3305,51.144315,-114.20128
LINC-100921,CGL-200921,"5032 MacLeod Trail SE, Calgary, AB",Panorama Hills,Townhouse,3,1.3,858222,1995,1088,50.96963,-113.94164
LINC-100922,CGL-200922,"311 8 Ave NE, Calgary, AB",Signal Hill,Condo,3,3.3,682007,1993,1167,50.94352,-114.14548
LINC-100923,CGL-200923,"1778 8 Ave NE, Calgary, AB",Brentwood,Townhouse,2,3.5,1083729,2021,3012,51.039105,-113.90312
LINC-100924,CGL-200924,"8712 Memorial Dr NE, Calgary, AB",Signal Hill,Townhouse,5,3.1,1091566,1964,2209,51.150755,-114.29944
LINC-100925,CGL-200925,"7644 17 Ave SW, Calgary, AB",Beltline,Detached,1,2.4,576708,1996,1069,50.85987,-114.2724
LINC-100927,CGL-200927,"2208 Memorial Dr NE, Calgary, AB",Panorama Hills,Detached,2,1.9,470034,1966,821,51.118835,-114.03452
LINC-100928,CGL-200928,"7060 Elbow Dr SW, Calgary, AB",Seton,Detached,1,1.1,757778,2005,674,50.974565,-114.01432
LINC-100929,CGL-200929,"3317 17 Ave SW, Calgary, AB",Beltline,Townhouse,5,2.8,741868,1965,1536,51.101895,-113.9248
LINC-100930,CGL-200930,"809 17 Ave SW, Calgary, AB",Tuscany,Townhouse,1,3.3,1070375,1965,2964,50.947965,-114.1584
LINC-100932,CGL-200932,"5798 MacLeod Trail SE, Calgary, AB",Brentwood,Townhouse,5,1.7,847935,1958,905,50.950065,-114.01412
LINC-100933,CGL-200933,"9572 Memorial Dr NE, Calgary, AB",Beltline,Townhouse,2,3.1,545548,1971,2700,50.930955,-114.15884
LINC-100934,CGL-200934,"170 Elbow Dr SW, Calgary, AB",Beltline,Detached,5,3.6,747775,1996,3359,51.112745,-113.99132
LINC-100935,CGL-200935,"9756 8 Ave NE, Calgary, AB",Mahogany,Townhouse,1,1.5,622058,1998,2237,51.166365,-114.04644
LINC-100936,CGL-200936,"3610 Crowchild Trail NW, Calgary, AB",Brentwood,Condo,1,3.3,579546,1965,2408,50.940755,-114.20788
LINC-100937,CGL-200937,"1907 Crowchild Trail NW, Calgary, AB",Brentwood,Condo,3,3.1,834195,1955,836,50.923465,-114.24912
LINC-100938,CGL-200938,"5475 Centre St N, Calgary, AB",Beltline,Condo,3,2.4,1021934,1989,3314,51.085025,-113.99812
LINC-100939,CGL-200939,"7373 8 Ave NE, Calgary, AB",Signal Hill,Condo,3,4.0,698750,1974,785,51.08933,-114.04892
LINC-100940,CGL-200940,"7893 Elbow Dr SW, Calgary, AB",Tuscany,Detached,1,4.0,765530,1963,2123,51.072985,-114.01556
LINC-100941,CGL-200941,"7277 Crowchild Trail NW, Calgary, AB",Panorama Hills,Townhouse,1,1.4,663989,2001,3346,51.09311,-114.24928
LINC-100942,CGL-200942,"9775 17 Ave SW, Calgary, AB",Panorama Hills,Detached,1,2.1,458757,1993,1320,51.16983,-114.08188
LINC-100943,CGL-200943,"9847 Memorial Dr NE, Calgary, AB",Mahogany,Detached,2,3.5,1010427,2013,1640,51.015585,-114.01284
LINC-100944,CGL-200944,"9634 Crowchild Trail NW, Calgary, AB",Tuscany,Townhouse,4,2.1,949061,2001,2484,51.04838,-114.23036
LINC-100945,CGL-200945,"8479 MacLeod Trail SE, Calgary, AB",Brentwood,Condo,1,1.4,763111,2013,1445,51.18348,-113.95504
LINC-100946,CGL-200946,"2305 17 Ave SW, Calgary, AB",Beltline,Townhouse,1,3.5,772332,1953,1233,51.060735,-114.08636
LINC-100947,CGL-200947,"6369 Crowchild Trail NW, Calgary, AB",Panorama Hills,Condo,2,1.9,903506,1962,813,51.025315,-114.14116
LINC-100948,CGL-200948,"8618 Memorial Dr NE, Calgary, AB",Mahogany,Condo,2,1.9,772084,2012,2567,51.008795,-114.23284
LINC-100949,CGL-200949,"4387 Crowchild Trail NW, Calgary, AB",Tuscany,Townhouse,5,1.1,1051075,1954,2262,51.03284,-114.0994
LINC-100950,CGL-200950,"2051 Centre St N, Calgary, AB",Mahogany,Condo,4,2.3,287728,1954,1224,51.154955,-114.25248
LINC-100951,CGL-200951,"9220 Elbow Dr SW, Calgary, AB",Seton,Condo,2,2.5,391021,1989,3431,50.973375,-114.17852
LINC-100952,CGL-200952,"6474 Centre St N, Calgary, AB",Seton,Detached,5,3.0,942142,2020,3307,50.854235,-114.25568
LINC-100953,CGL-200953,"8937 Crowchild Trail NW, Calgary, AB",Mahogany,Condo,5,3.6,781297,1957,2103,51.05104,-114.00332
LINC-100954,CGL-200954,"4415 Centre St N, Calgary, AB",Signal Hill,Condo,5,3.0,1053702,1986,1812,51.15618,-114.26212
LINC-100955,CGL-200955,"1106 17 Ave SW, Calgary, AB",Signal Hill,Detached,2,3.5,615823,1953,3060,50.958325,-113.99092
LINC-100956,CGL-200956,"5691 Centre St N, Calgary, AB",Beltline,Condo,3,4.0,681939,1994,731,50.91174,-114.0992
LINC-100957,CGL-200957,"4101 8 Ave NE, Calgary, AB",Brentwood,Townhouse,3,2.8,971411,1958,1748,51.073055,-114.27372
LINC-100958,CGL-200958,"1975 MacLeod Trail SE, Calgary, AB",Brentwood,Detached,5,2.0,733298,2004,2826,51.037495,-113.9782
LINC-100959,CGL-200959,"8533 Centre St N, Calgary, AB",Tuscany,Detached,4,2.8,581889,1998,2836,51.06196,-113.97928
LINC-100960,CGL-200960,"6494 MacLeod Trail SE, Calgary, AB",Signal Hill,Detached,4,1.3,957905,1976,1876,51.031965,-114.02756
LINC-100961,CGL-200961,"8238 Crowchild Trail NW, Calgary, AB",Seton,Townhouse,3,1.5,564070,1996,2285,51.12748,-114.0278
LINC-100962,CGL-200962,"3405 Centre St N, Calgary, AB",Panorama Hills,Detached,5,1.6,528035,1956,1717,51.108475,-114.18456
LINC-100963,CGL-200963,"9496 Centre St N, Calgary, AB",Seton,Detached,5,3.2,346424,1962,2924,51.136965,-114.11412
LINC-100965,CGL-200965,"5045 Crowchild Trail NW, Calgary, AB",Seton,Condo,4,3.0,578574,1975,2197,50.9571,-114.12292
LINC-100966,CGL-200966,"6691 MacLeod Trail SE, Calgary, AB",Signal Hill,Townhouse,4,3.0,824160,1973,576,50.94471,-113.99936
LINC-100967,CGL-200967,"8557 Memorial Dr NE, Calgary, AB",Brentwood,Townhouse,4,1.6,1113930,2009,1597,51.189675,-113.98588
LINC-100968,CGL-200968,"8828 Memorial Dr NE, Calgary, AB",Signal Hill,Condo,5,3.2,312790,2016,1321,50.965465,-114.04992
LINC-100970,CGL-200970,"6821 MacLeod Trail SE, Calgary, AB",Seton,Detached,2,3.5,529901,1986,3146,50.86281,-114.07856
LINC-100971,CGL-200971,"2731 MacLeod Trail SE, Calgary, AB",Panorama Hills,Townhouse,2,2.2,369074,1969,1286,51.003755,-114.12456
LINC-100972,CGL-200972,"553 8 Ave NE, Calgary, AB",Seton,Condo,4,2.5,707318,2004,3149,51.19762,-113.91216
LINC-100973,CGL-200973,"706 8 Ave NE, Calgary, AB",Brentwood,Condo,2,1.1,1078028,1985,3197,51.134865,-113.95756
LINC-100974,CGL-200974,"9122 8 Ave NE, Calgary, AB",Panorama Hills,Detached,4,3.3,308014,1960,1785,50.922205,-114.20056
LINC-100975,CGL-200975,"9956 MacLeod Trail SE, Calgary, AB",Seton,Detached,4,3.7,954299,1961,2125,50.949435,-114.14604
LINC-100976,CGL-200976,"2402 8 Ave NE, Calgary, AB",Beltline,Townhouse,5,3.8,797312,2017,1531,51.153345,-114.28344
LINC-100977,CGL-200977,"8233 17 Ave SW, Calgary, AB",Brentwood,Townhouse,1,3.3,578634,1992,2893,51.16598,-114.02044
LINC-100978,CGL-200978,"6488 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,2,3.8,478598,1968,937,50.86687,-113.90084
LINC-100979,CGL-200979,"2969 8 Ave NE, Calgary, AB",Tuscany,Condo,4,1.8,868115,1957,2508,51.135005,-114.10412
LINC-100980,CGL-200980,"8840 MacLeod Trail SE, Calgary, AB",Panorama Hills,Detached,3,2.6,747920,1981,1637,50.90117,-114.20052
LINC-100981,CGL-200981,"2474 MacLeod Trail SE, Calgary, AB",Mahogany,Townhouse,3,3.5,272097,1954,3212,51.16129,-114.29528
LINC-100982,CGL-200982,"995 Elbow Dr SW, Calgary, AB",Seton,Townhouse,2,1.8,653376,1989,3117,51.05713,-114.05224
LINC-100983,CGL-200983,"6045 Memorial Dr NE, Calgary, AB",Panorama Hills,Detached,5,3.6,1149308,2006,2091,51.01345,-114.11712
LINC-100984,CGL-200984,"228 Centre St N, Calgary, AB",Tuscany,Condo,1,3.8,1043423,1980,1718,51.01044,-113.9872
LINC-100985,CGL-200985,"3546 Memorial Dr NE, Calgary, AB",Brentwood,Condo,3,3.6,1053986,2002,638,51.06532,-113.93372
LINC-100986,CGL-200986,"4589 Memorial Dr NE, Calgary, AB",Beltline,Condo,4,3.2,1132023,1992,3438,51.172105,-114.11964
LINC-100987,CGL-200987,"7020 Memorial Dr NE, Calgary, AB",Beltline,Detached,3,2.5,618948,2003,2966,51.00442,-114.1286
LINC-100988,CGL-200988,"9073 Elbow Dr SW, Calgary, AB",Tuscany,Condo,1,3.3,922528,1973,3081,51.19265,-113.97652
LINC-100989,CGL-200989,"7364 Memorial Dr NE, Calgary, AB",Panorama Hills,Detached,1,2.2,908816,1989,1785,51.07372,-114.1668
LINC-100990,CGL-200990,"9534 17 Ave SW, Calgary, AB",Beltline,Detached,2,2.5,1054894,1966,2933,50.863125,-114.29596
LINC-100991,CGL-200991,"6822 Memorial Dr NE, Calgary, AB",Tuscany,Condo,4,3.6,389995,1983,1210,50.87478,-113.91348
LINC-100992,CGL-200992,"9816 Memorial Dr NE, Calgary, AB",Tuscany,Condo,2,1.3,635456,1973,2111,51.17753,-113.98368
LINC-100993,CGL-200993,"6282 Memorial Dr NE, Calgary, AB",Signal Hill,Detached,1,3.8,835661,1979,864,51.0439,-113.92672
LINC-100994,CGL-200994,"7676 8 Ave NE, Calgary, AB",Tuscany,Townhouse,2,1.1,898024,2004,2959,50.865435,-114.0596
LINC-100995,CGL-200995,"4362 8 Ave NE, Calgary, AB",Beltline,Condo,2,3.8,373050,1951,3443,51.185335,-114.15592
LINC-100996,CGL-200996,"8715 Centre St N, Calgary, AB",Seton,Condo,4,1.4,998225,1976,1280,50.96774,-113.95624
LINC-100997,CGL-200997,"4461 MacLeod Trail SE, Calgary, AB",Panorama Hills,Condo,4,1.4,1147935,1976,2957,50.98335,-114.05004
LINC-100998,CGL-200998,"3631 Memorial Dr NE, Calgary, AB",Tuscany,Townhouse,2,2.3,678368,1968,617,51.100915,-114.18956
LINC-101000,CGL-201000,"269 Centre St N, Calgary, AB",Brentwood,Condo,4,3.1,997986,1999,3401,51.022095,-114.15588
LINC-101002,CGL-201002,"3947 Centre St N, Calgary, AB",Tuscany,Townhouse,5,3.1,1099192,1955,521,51.031755,-114.00508
LINC-101003,CGL-201003,"4255 Crowchild Trail NW, Calgary, AB",Signal Hill,Condo,3,3.9,953869,1997,1041,50.952165,-114.06472
LINC-101004,CGL-201004,"9267 17 Ave SW, Calgary, AB",Signal Hill,Detached,3,1.5,766780,1993,2417,51.08023,-114.22308
LINC-101005,CGL-201005,"2261 17 Ave SW, Calgary, AB",Tuscany,Townhouse,5,2.3,523055,1964,1783,51.00134,-114.19792
LINC-101006,CGL-201006,"823 8 Ave NE, Calgary, AB",Mahogany,Condo,3,3.8,546668,1983,3010,50.852415,-114.2728
LINC-101007,CGL-201007,"4421 Crowchild Trail NW, Calgary, AB",Tuscany,Condo,2,1.9,765138,1969,2776,50.86176,-114.25408
LINC-101008,CGL-201008,"7308 17 Ave SW, Calgary, AB",Brentwood,Detached,1,1.7,287604,2010,1565,50.93792,-114.27936
LINC-101009,CGL-201009,"2779 Elbow Dr SW, Calgary, AB",Mahogany,Condo,1,4.0,768951,1955,2308,51.032455,-114.28752
LINC-101010,CGL-201010,"5941 Elbow Dr SW, Calgary, AB",Signal Hill,Condo,4,2.5,1136925,1968,1006,50.94128,-113.94384
LINC-101011,CGL-201011,"5827 17 Ave SW, Calgary, AB",Brentwood,Condo,2,3.5,1036365,2015,1617,50.97159,-114.28536
LINC-101012,CGL-201012,"9328 Elbow Dr SW, Calgary, AB",Signal Hill,Detached,5,4.0,254326,2017,2837,51.034765,-113.92284
LINC-101013,CGL-201013,"3058 Centre St N, Calgary, AB",Beltline,Detached,4,3.0,1180472,1992,606,51.190165,-114.267
LINC-101014,CGL-201014,"4757 Elbow Dr SW, Calgary, AB",Panorama Hills,Detached,4,2.1,361222,1991,1129,51.038965,-113.9892
LINC-101015,CGL-201015,"573 17 Ave SW, Calgary, AB",Mahogany,Townhouse,4,2.4,532400,1950,1849,50.98286,-114.047
LINC-101016,CGL-201016,"818 Elbow Dr SW, Calgary, AB",Signal Hill,Condo,3,3.8,1019989,2022,1029,51.021395,-114.08736
LINC-101017,CGL-201017,"3563 Memorial Dr NE, Calgary, AB",Beltline,Townhouse,3,2.0,308232,1959,2741,51.01296,-114.1368
LINC-101018,CGL-201018,"9967 Centre St N, Calgary, AB",Beltline,Condo,3,1.5,1058323,2001,865,50.875165,-114.0224
LINC-101019,CGL-201019,"436 Memorial Dr NE, Calgary, AB",Brentwood,Detached,4,3.3,548776,1969,993,50.86421,-113.98636
LINC-101021,CGL-201021,"1674 Memorial Dr NE, Calgary, AB",Tuscany,Townhouse,2,2.5,1178422,1999,2451,50.939355,-114.00384
LINC-101022,CGL-201022,"4498 Crowchild Trail NW, Calgary, AB",Signal Hill,Condo,1,3.3,1100389,1997,3014,51.11495,-114.29904
LINC-101023,CGL-201023,"3153 Centre St N, Calgary, AB",Panorama Hills,Condo,1,1.1,608345,2009,3270,50.872575,-114.25756
LINC-101024,CGL-201024,"3773 Elbow Dr SW, Calgary, AB",Panorama Hills,Townhouse,2,3.8,802891,2017,843,51.17396,-114.26092
LINC-101025,CGL-201025,"4862 Centre St N, Calgary, AB",Mahogany,Detached,4,1.9,383997,1988,1518,50.90866,-114.0236
LINC-101026,CGL-201026,"8670 Centre St N, Calgary, AB",Tuscany,Townhouse,1,2.7,297285,2015,940,50.94863,-114.10428
LINC-101027,CGL-201027,"8466 Centre St N, Calgary, AB",Mahogany,Detached,4,3.0,846092,1982,1955,51.15912,-114.06712
LINC-101028,CGL-201028,"4275 Crowchild Trail NW, Calgary, AB",Beltline,Townhouse,1,1.3,943715,2009,1235,50.91986,-114.26132
LINC-101029,CGL-201029,"3085 Memorial Dr NE, Calgary, AB",Mahogany,Detached,1,2.2,988594,1988,1785,51.04082,-114.19132
LINC-101030,CGL-201030,"9720 Elbow Dr SW, Calgary, AB",Mahogany,Townhouse,4,2.9,527950,1993,1266,50.99476,-114.04032
LINC-101031,CGL-201031,"3558 8 Ave NE, Calgary, AB",Beltline,Townhouse,5,1.8,956120,1963,2276,51.176305,-114.07668
LINC-101032,CGL-201032,"8855 17 Ave SW, Calgary, AB",Beltline,Condo,1,1.0,937657,2011,2384,50.87555,-113.98304
LINC-101033,CGL-201033,"6737 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,5,3.2,567508,1996,3328,50.92882,-114.08828
LINC-101034,CGL-201034,"6571 Memorial Dr NE, Calgary, AB",Tuscany,Detached,2,1.4,450070,1964,565,51.1839,-114.03248
LINC-101035,CGL-201035,"3183 Memorial Dr NE, Calgary, AB",Beltline,Detached,4,2.9,931301,1980,2284,51.093845,-114.10264
LINC-101036,CGL-201036,"8924 8 Ave NE, Calgary, AB",Beltline,Condo,4,1.4,692372,1952,977,51.13987,-114.21036
LINC-101037,CGL-201037,"2821 8 Ave NE, Calgary, AB",Panorama Hills,Townhouse,4,3.9,744392,1952,2341,51.03109,-113.97792
