LINC,Listing_Number,Address,Community,Property_Type,Bedrooms,Bathrooms,Listing_Price,Year_Built,Square_Feet
LINC-101500,CGL-201500,"7640 Memorial Dr NE, Calgary, AB",Beltline,Detached,1,1.8,931448,1963,1865
LINC-101501,CGL-201501,"9837 17 Ave SW, Calgary, AB",Seton,Condo,5,2.4,597401,1957,997
LINC-101502,CGL-201502,"9678 Elbow Dr SW, Calgary, AB",Signal Hill,Townhouse,1,3.1,791342,1968,2802
LINC-101503,CGL-201503,"8215 8 Ave NE, Calgary, AB",Brentwood,Townhouse,2,1.9,575992,1950,2486
LINC-101504,CGL-201504,"3388 17 Ave SW, Calgary, AB",Beltline,Detached,2,2.8,376913,2016,896
LINC-101505,CGL-201505,"4150 8 Ave NE, Calgary, AB",Beltline,Condo,1,3.5,715374,2000,727
LINC-101506,CGL-201506,"2095 MacLeod Trail SE, Calgary, AB",Mahogany,Condo,2,3.5,1132608,2019,1566
LINC-101507,CGL-201507,"7294 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,1,2.3,917101,1952,1256
LINC-101508,CGL-201508,"2421 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,2,1.5,1027691,2019,1320
LINC-101509,CGL-201509,"7901 Centre St N, Calgary, AB",Tuscany,Condo,1,3.9,766910,1997,3234
LINC-101510,CGL-201510,"4608 Centre St N, Calgary, AB",Mahogany,Townhouse,1,2.4,1103009,2004,1106
LINC-101511,CGL-201511,"558 MacLeod Trail SE, Calgary, AB",Mahogany,Detached,5,2.2,858738,1988,639
LINC-101512,CGL-201512,"7382 17 Ave SW, Calgary, AB",Tuscany,Detached,4,3.6,730614,1985,537
LINC-101513,CGL-201513,"2693 MacLeod Trail SE, Calgary, AB",Signal Hill,Townhouse,2,2.0,990530,2017,2099
LINC-101514,CGL-201514,"8505 17 Ave SW, Calgary, AB",Brentwood,Townhouse,2,2.1,1004145,2022,1889
LINC-101515,CGL-201515,"7628 Elbow Dr SW, Calgary, AB",Seton,Detached,3,3.4,940428,1988,2113
LINC-101516,CGL-201516,"1217 Memorial Dr NE, Calgary, AB",Panorama Hills,Condo,4,3.9,885271,1973,2859
LINC-101517,CGL-201517,"8406 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,3,1.4,589818,1994,2894
LINC-101518,CGL-201518,"6715 17 Ave SW, Calgary, AB",Beltline,Detached,2,1.7,947576,1963,2545
LINC-101519,CGL-201519,"7905 MacLeod Trail SE, Calgary, AB",Seton,Detached,2,1.3,1173538,1972,3482
LINC-101520,CGL-201520,"6392 Memorial Dr NE, Calgary, AB",Mahogany,Detached,1,2.8,370034,1954,798
LINC-101521,CGL-201521,"7334 Memorial Dr NE, Calgary, AB",Tuscany,Townhouse,1,3.8,586759,1963,3361
LINC-101522,CGL-201522,"7464 Centre St N, Calgary, AB",Brentwood,Townhouse,5,2.7,455225,1982,2511
LINC-101523,CGL-201523,"7268 Elbow Dr SW, Calgary, AB",Tuscany,Detached,2,3.2,705148,2017,1287
LINC-101524,CGL-201524,"1509 Crowchild Trail NW, Calgary, AB",Beltline,Townhouse,1,1.6,1099355,1967,521
LINC-101525,CGL-201525,"5991 Memorial Dr NE, Calgary, AB",Mahogany,Townhouse,5,3.6,607261,1973,3294
LINC-101526,CGL-201526,"8753 Centre St N, Calgary, AB",Brentwood,Detached,5,3.5,775179,1995,1960
LINC-101527,CGL-201527,"9253 Memorial Dr NE, Calgary, AB",Brentwood,Detached,4,2.3,644388,1959,2831
LINC-101528,CGL-201528,"1380 8 Ave NE, Calgary, AB",Seton,Townhouse,3,1.3,772937,1979,710
LINC-101529,CGL-201529,"9954 Crowchild Trail NW, Calgary, AB",Tuscany,Detached,2,3.5,553978,1982,2099
LINC-101530,CGL-201530,"5963 17 Ave SW, Calgary, AB",Seton,Detached,3,1.2,853304,1980,2620
LINC-101531,CGL-201531,"8292 MacLeod Trail SE, Calgary, AB",Mahogany,Townhouse,1,2.6,1185128,1964,2887
LINC-101532,CGL-201532,"7816 MacLeod Trail SE, Calgary, AB",Panorama Hills,Detached,1,2.0,523553,1975,1870
LINC-101533,CGL-201533,"1073 8 Ave NE, Calgary, AB",Brentwood,Townhouse,3,3.8,945558,1957,1465
LINC-101534,CGL-201534,"8186 17 Ave SW, Calgary, AB",Seton,Townhouse,5,3.1,1052762,1954,1916
LINC-101535,CGL-201535,"1259 Centre St N, Calgary, AB",Signal Hill,Townhouse,5,3.8,1180630,2020,2461
LINC-101536,CGL-201536,"2221 MacLeod Trail SE, Calgary, AB",Panorama Hills,Detached,1,1.1,782261,1978,3163
LINC-101537,CGL-201537,"5838 Centre St N, Calgary, AB",Mahogany,Condo,2,1.1,308045,1953,1303
LINC-101538,CGL-201538,"8852 Crowchild Trail NW, Calgary, AB",Seton,Condo,1,2.7,304673,1999,2045
LINC-101539,CGL-201539,"2151 Centre St N, Calgary, AB",Panorama Hills,Condo,5,1.4,709226,1965,3021
LINC-101540,CGL-201540,"6124 MacLeod Trail SE, Calgary, AB",Brentwood,Condo,4,3.8,499739,1979,876
LINC-101541,CGL-201541,"9743 17 Ave SW, Calgary, AB",Brentwood,Condo,5,2.7,1090713,1951,3448
LINC-101542,CGL-201542,"4194 Memorial Dr NE, Calgary, AB",Beltline,Detached,1,1.4,439365,1986,679
LINC-101543,CGL-201543,"5246 MacLeod Trail SE, Calgary, AB",Signal Hill,Townhouse,2,4.0,386017,2000,2460
LINC-101544,CGL-201544,"2105 Elbow Dr SW, Calgary, AB",Beltline,Detached,3,3.8,465860,2013,3388
LINC-101545,CGL-201545,"5948 Memorial Dr NE, Calgary, AB",Brentwood,Condo,3,3.8,1068107,2020,1698
LINC-101546,CGL-201546,"4101 Crowchild Trail NW, Calgary, AB",Tuscany,Condo,5,2.5,306620,1994,2182
LINC-101547,CGL-201547,"8066 MacLeod Trail SE, Calgary, AB",Beltline,Detached,2,3.5,796302,1979,1749
LINC-101548,CGL-201548,"9159 8 Ave NE, Calgary, AB",Beltline,Condo,2,1.1,496525,2006,3162
LINC-101549,CGL-201549,"7534 17 Ave SW, Calgary, AB",Beltline,Condo,1,1.8,866814,1999,1730
LINC-101550,CGL-201550,"1484 17 Ave SW, Calgary, AB",Tuscany,Townhouse,4,2.5,1154682,1998,2075
LINC-101551,CGL-201551,"7374 17 Ave SW, Calgary, AB",Brentwood,Detached,4,1.6,702025,2018,714
LINC-101552,CGL-201552,"5099 17 Ave SW, Calgary, AB",Signal Hill,Condo,1,3.7,1041127,1993,1575
LINC-101553,CGL-201553,"9782 8 Ave NE, Calgary, AB",Seton,Detached,3,3.2,901721,2005,2251
LINC-101554,CGL-201554,"1035 Memorial Dr NE, Calgary, AB",Beltline,Townhouse,4,3.9,960902,1986,2690
LINC-101555,CGL-201555,"7694 Centre St N, Calgary, AB",Signal Hill,Townhouse,5,3.3,522735,1970,2061
LINC-101556,CGL-201556,"7756 Elbow Dr SW, Calgary, AB",Brentwood,Detached,1,1.8,965756,1985,850
LINC-101557,CGL-201557,"4194 Memorial Dr NE, Calgary, AB",Signal Hill,Condo,3,2.7,290481,1985,1981
LINC-101558,CGL-201558,"4503 Elbow Dr SW, Calgary, AB",Tuscany,Townhouse,5,1.0,571802,2022,3206
LINC-101559,CGL-201559,"5359 Memorial Dr NE, Calgary, AB",Tuscany,Detached,4,2.4,711278,1951,2410
LINC-101560,CGL-201560,"706 MacLeod Trail SE, Calgary, AB",Mahogany,Townhouse,5,1.7,311430,1960,1632
LINC-101561,CGL-201561,"9134 MacLeod Trail SE, Calgary, AB",Beltline,Condo,2,1.8,1074952,1985,1563
LINC-101562,CGL-201562,"8208 8 Ave NE, Calgary, AB",Brentwood,Townhouse,2,1.4,897966,1956,1453
LINC-101563,CGL-201563,"1975 Elbow Dr SW, Calgary, AB",Beltline,Detached,5,3.6,858059,1990,671
LINC-101564,CGL-201564,"9167 Elbow Dr SW, Calgary, AB",Brentwood,Detached,3,3.9,266901,1995,2713
LINC-101565,CGL-201565,"832 Crowchild Trail NW, Calgary, AB",Brentwood,Condo,1,1.2,715371,1964,2593
LINC-101566,CGL-201566,"1368 8 Ave NE, Calgary, AB",Brentwood,Condo,5,2.1,1112656,2003,792
LINC-101567,CGL-201567,"7087 MacLeod Trail SE, Calgary, AB",Brentwood,Detached,3,2.8,627788,1992,2171
LINC-101568,CGL-201568,"6239 Centre St N, Calgary, AB",Tuscany,Townhouse,1,1.5,296777,1987,1114
LINC-101569,CGL-201569,"9786 17 Ave SW, Calgary, AB",Beltline,Townhouse,2,3.4,785608,2015,2881
LINC-101570,CGL-201570,"5736 8 Ave NE, Calgary, AB",Mahogany,Townhouse,1,3.0,407364,1998,3159
LINC-101571,CGL-201571,"1385 17 Ave SW, Calgary, AB",Brentwood,Townhouse,5,4.0,910943,2020,2212
LINC-101572,CGL-201572,"8930 Elbow Dr SW, Calgary, AB",Beltline,Townhouse,1,2.8,941218,2017,2631
LINC-101573,CGL-201573,"7325 MacLeod Trail SE, Calgary, AB",Tuscany,Detached,5,1.9,505882,1992,1495
LINC-101574,CGL-201574,"6030 8 Ave NE, Calgary, AB",Mahogany,Condo,1,3.1,716624,2002,1982
LINC-101575,CGL-201575,"1405 MacLeod Trail SE, Calgary, AB",Signal Hill,Townhouse,1,3.7,935066,2011,2978
LINC-101576,CGL-201576,"3874 Centre St N, Calgary, AB",Seton,Condo,2,2.7,1116945,1966,2702
LINC-101577,CGL-201577,"4113 Memorial Dr NE, Calgary, AB",Mahogany,Townhouse,5,3.0,884960,1983,1675
LINC-101578,CGL-201578,"5696 MacLeod Trail SE, Calgary, AB",Beltline,Detached,4,2.3,405607,2023,2524
LINC-101579,CGL-201579,"3345 8 Ave NE, Calgary, AB",Mahogany,Detached,2,1.4,526169,2020,3413
LINC-101580,CGL-201580,"7798 Elbow Dr SW, Calgary, AB",Beltline,Detached,1,3.5,275093,1971,799
LINC-101581,CGL-201581,"2268 Crowchild Trail NW, Calgary, AB",Seton,Townhouse,4,3.7,621581,1966,2147
LINC-101582,CGL-201582,"9224 8 Ave NE, Calgary, AB",Panorama Hills,Condo,1,2.0,1114776,1993,2922
LINC-101583,CGL-201583,"1865 Elbow Dr SW, Calgary, AB",Beltline,Detached,3,3.8,678736,2007,2284
LINC-101584,CGL-201584,"4839 Memorial Dr NE, Calgary, AB",Mahogany,Townhouse,2,3.2,1008862,2015,843
LINC-101585,CGL-201585,"2594 17 Ave SW, Calgary, AB",Signal Hill,Townhouse,3,3.0,725557,1998,1812
LINC-101586,CGL-201586,"7285 8 Ave NE, Calgary, AB",Signal Hill,Townhouse,5,1.8,1060555,1962,1451
LINC-101587,CGL-201587,"4971 Centre St N, Calgary, AB",Tuscany,Detached,5,2.6,800705,2015,2247
LINC-101588,CGL-201588,"4773 MacLeod Trail SE, Calgary, AB",Mahogany,Condo,2,3.9,293971,1976,2263
LINC-101589,CGL-201589,"8605 MacLeod Trail SE, Calgary, AB",Signal Hill,Townhouse,3,1.3,548624,1971,985
LINC-101590,CGL-201590,"4816 MacLeod Trail SE, Calgary, AB",Mahogany,Condo,2,3.7,552491,1983,2982
LINC-101591,CGL-201591,"1838 8 Ave NE, Calgary, AB",Panorama Hills,Condo,2,1.3,828985,2015,1191
LINC-101592,CGL-201592,"548 Crowchild Trail NW, Calgary, AB",Beltline,Townhouse,5,3.4,256988,2012,605
LINC-101593,CGL-201593,"6154 8 Ave NE, Calgary, AB",Tuscany,Townhouse,4,3.2,796196,1966,2358
LINC-101594,CGL-201594,"4932 17 Ave SW, Calgary, AB",Panorama Hills,Townhouse,1,2.3,703263,2013,1577
LINC-101595,CGL-201595,"1523 Memorial Dr NE, Calgary, AB",Brentwood,Condo,1,3.9,1092678,1960,1411
LINC-101596,CGL-201596,"1318 MacLeod Trail SE, Calgary, AB",Brentwood,Townhouse,3,1.8,911257,2015,3252
LINC-101597,CGL-201597,"1313 Elbow Dr SW, Calgary, AB",Panorama Hills,Condo,1,2.3,989354,2016,1800
LINC-101598,CGL-201598,"3219 Memorial Dr NE, Calgary, AB",Signal Hill,Townhouse,1,3.8,907756,1951,1507
LINC-101599,CGL-201599,"2342 Crowchild Trail NW, Calgary, AB",Mahogany,Detached,2,1.8,408789,2012,1266
LINC-101600,CGL-201600,"8238 MacLeod Trail SE, Calgary, AB",Brentwood,Detached,1,3.9,1148794,1977,513
LINC-101601,CGL-201601,"7215 17 Ave SW, Calgary, AB",Mahogany,Townhouse,5,1.6,436767,1954,2212
LINC-101602,CGL-201602,"4410 Crowchild Trail NW, Calgary, AB",Mahogany,Townhouse,5,1.7,615642,2011,2672
LINC-101603,CGL-201603,"3050 MacLeod Trail SE, Calgary, AB",Seton,Detached,3,3.0,764034,2000,2948
LINC-101604,CGL-201604,"5951 Crowchild Trail NW, Calgary, AB",Mahogany,Condo,1,1.7,1173685,1986,2218
LINC-101605,CGL-201605,"7426 MacLeod Trail SE, Calgary, AB",Brentwood,Townhouse,4,1.3,737310,1990,3205
LINC-101606,CGL-201606,"1960 MacLeod Trail SE, Calgary, AB",Panorama Hills,Condo,2,3.3,757236,2012,2961
LINC-101607,CGL-201607,"6850 Elbow Dr SW, Calgary, AB",Brentwood,Detached,3,1.8,475555,2002,749
LINC-101608,CGL-201608,"9312 Memorial Dr NE, Calgary, AB",Tuscany,Condo,3,2.2,1098330,2006,2241
LINC-101609,CGL-201609,"6631 MacLeod Trail SE, Calgary, AB",Beltline,Condo,4,3.2,606349,1955,1763
LINC-101610,CGL-201610,"7434 Centre St N, Calgary, AB",Brentwood,Townhouse,2,2.6,1067419,1964,3012
LINC-101611,CGL-201611,"5501 8 Ave NE, Calgary, AB",Signal Hill,Townhouse,1,3.9,272143,1998,869
LINC-101612,CGL-201612,"5560 MacLeod Trail SE, Calgary, AB",Seton,Townhouse,1,3.0,793842,1976,1983
LINC-101613,CGL-201613,"8873 8 Ave NE, Calgary, AB",Brentwood,Townhouse,4,3.6,490474,1987,1161
LINC-101614,CGL-201614,"6225 MacLeod Trail SE, Calgary, AB",Mahogany,Detached,5,3.2,264303,1954,582
LINC-101615,CGL-201615,"8727 17 Ave SW, Calgary, AB",Signal Hill,Condo,4,1.1,546841,1988,599
LINC-101616,CGL-201616,"3868 Elbow Dr SW, Calgary, AB",Seton,Townhouse,2,1.1,1036343,1965,2047
LINC-101617,CGL-201617,"6665 8 Ave NE, Calgary, AB",Seton,Townhouse,3,3.6,330244,1959,2566
LINC-101618,CGL-201618,"6905 17 Ave SW, Calgary, AB",Beltline,Townhouse,5,2.8,409223,1962,2909
LINC-101619,CGL-201619,"6508 8 Ave NE, Calgary, AB",Seton,Townhouse,3,3.4,695804,2015,595
LINC-101620,CGL-201620,"5050 MacLeod Trail SE, Calgary, AB",Mahogany,Detached,1,1.8,937919,2023,2430
LINC-101621,CGL-201621,"6269 MacLeod Trail SE, Calgary, AB",Mahogany,Detached,2,3.9,838247,1985,2479
LINC-101622,CGL-201622,"4759 Elbow Dr SW, Calgary, AB",Signal Hill,Townhouse,2,2.1,771178,2000,2026
LINC-101623,CGL-201623,"9055 Elbow Dr SW, Calgary, AB",Beltline,Condo,2,2.7,276101,2000,1450
LINC-101624,CGL-201624,"7425 MacLeod Trail SE, Calgary, AB",Mahogany,Townhouse,1,2.9,598583,1968,3080
LINC-101625,CGL-201625,"1470 17 Ave SW, Calgary, AB",Signal Hill,Detached,2,3.6,763604,1981,843
LINC-101626,CGL-201626,"2415 Centre St N, Calgary, AB",Signal Hill,Condo,5,3.2,844164,1979,741
LINC-101627,CGL-201627,"8184 MacLeod Trail SE, Calgary, AB",Mahogany,Condo,3,3.5,288283,1991,3322
LINC-101628,CGL-201628,"9362 Crowchild Trail NW, Calgary, AB",Mahogany,Detached,3,3.1,1041714,2021,2501
LINC-101629,CGL-201629,"9038 Centre St N, Calgary, AB",Tuscany,Townhouse,2,2.0,993302,2011,2607
LINC-101630,CGL-201630,"9189 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,1,3.8,696380,1959,2038
LINC-101631,CGL-201631,"2185 Memorial Dr NE, Calgary, AB",Beltline,Detached,5,3.2,424270,1975,2292
LINC-101632,CGL-201632,"1962 17 Ave SW, Calgary, AB",Mahogany,Condo,2,2.9,800071,2012,1072
LINC-101633,CGL-201633,"9063 Centre St N, Calgary, AB",Mahogany,Detached,3,1.4,558515,1984,2640
LINC-101634,CGL-201634,"5381 Crowchild Trail NW, Calgary, AB",Tuscany,Townhouse,2,1.4,798668,1976,3014
LINC-101635,CGL-201635,"6182 Crowchild Trail NW, Calgary, AB",Signal Hill,Condo,4,2.4,596215,1967,1172
LINC-101636,CGL-201636,"8691 Elbow Dr SW, Calgary, AB",Seton,Condo,1,2.0,437931,1969,2427
LINC-101637,CGL-201637,"1198 17 Ave SW, Calgary, AB",Tuscany,Townhouse,2,1.6,348406,2018,2378
LINC-101638,CGL-201638,"5523 17 Ave SW, Calgary, AB",Beltline,Townhouse,4,2.8,320015,1994,3106
LINC-101639,CGL-201639,"9261 8 Ave NE, Calgary, AB",Tuscany,Townhouse,1,3.8,537918,1986,2245
LINC-101640,CGL-201640,"9675 Elbow Dr SW, Calgary, AB",Tuscany,Condo,5,3.3,517124,2021,2716
LINC-101641,CGL-201641,"3419 17 Ave SW, Calgary, AB",Signal Hill,Detached,1,3.2,543586,1972,1576
LINC-101642,CGL-201642,"9335 17 Ave SW, Calgary, AB",Brentwood,Townhouse,5,2.9,651548,1992,2857
LINC-101643,CGL-201643,"9802 Crowchild Trail NW, Calgary, AB",Tuscany,Townhouse,5,3.0,746403,1976,1188
LINC-101644,CGL-201644,"143 Memorial Dr NE, Calgary, AB",Brentwood,Detached,1,3.8,894794,1968,1087
LINC-101645,CGL-201645,"2800 Centre St N, Calgary, AB",Seton,Detached,3,1.2,304724,1967,2595
LINC-101646,CGL-201646,"7303 Centre St N, Calgary, AB",Panorama Hills,Condo,3,1.9,1046925,1965,1486
LINC-101647,CGL-201647,"9277 Centre St N, Calgary, AB",Mahogany,Condo,4,2.1,1129387,2016,1798
LINC-101648,CGL-201648,"8794 17 Ave SW, Calgary, AB",Signal Hill,Detached,2,3.8,1124098,1985,3413
LINC-101649,CGL-201649,"2441 Memorial Dr NE, Calgary, AB",Mahogany,Townhouse,4,2.5,1077289,1982,3307
LINC-101650,CGL-201650,"2070 Crowchild Trail NW, Calgary, AB",Mahogany,Townhouse,3,1.5,1158211,1996,2409
LINC-101651,CGL-201651,"5768 Elbow Dr SW, Calgary, AB",Mahogany,Detached,5,2.7,450261,1998,2032
LINC-101652,CGL-201652,"3032 Elbow Dr SW, Calgary, AB",Beltline,Detached,4,2.1,454355,1950,2901
LINC-101653,CGL-201653,"5185 MacLeod Trail SE, Calgary, AB",Beltline,Condo,3,2.5,263625,1984,637
LINC-101654,CGL-201654,"4604 Elbow Dr SW, Calgary, AB",Mahogany,Condo,1,4.0,988474,1982,1623
LINC-101655,CGL-201655,"1037 Crowchild Trail NW, Calgary, AB",Seton,Detached,4,4.0,912951,2008,2508
LINC-101656,CGL-201656,"2947 Centre St N, Calgary, AB",Panorama Hills,Townhouse,5,3.4,290048,1997,618
LINC-101657,CGL-201657,"2609 Elbow Dr SW, Calgary, AB",Panorama Hills,Detached,2,1.2,1124579,1965,729
LINC-101658,CGL-201658,"7364 Elbow Dr SW, Calgary, AB",Panorama Hills,Detached,3,1.3,820512,1985,1295
LINC-101659,CGL-201659,"373 MacLeod Trail SE, Calgary, AB",Seton,Townhouse,3,3.7,427433,1996,2614
LINC-101660,CGL-201660,"332 Elbow Dr SW, Calgary, AB",Mahogany,Condo,1,1.2,1115125,2014,1104
LINC-101661,CGL-201661,"4468 17 Ave SW, Calgary, AB",Brentwood,Condo,1,1.8,458334,2014,2176
LINC-101662,CGL-201662,"2933 Elbow Dr SW, Calgary, AB",Panorama Hills,Detached,3,1.8,617719,1965,1898
LINC-101663,CGL-201663,"7739 Crowchild Trail NW, Calgary, AB",Seton,Townhouse,1,2.7,735496,1961,976
LINC-101664,CGL-201664,"1583 8 Ave NE, Calgary, AB",Panorama Hills,Detached,2,2.0,907063,1952,1193
LINC-101665,CGL-201665,"271 8 Ave NE, Calgary, AB",Panorama Hills,Condo,4,1.2,1009459,1981,1760
LINC-101666,CGL-201666,"3230 Elbow Dr SW, Calgary, AB",Seton,Townhouse,2,1.9,647735,1986,1229
LINC-101667,CGL-201667,"4670 8 Ave NE, Calgary, AB",Signal Hill,Condo,4,1.7,447389,1984,1316
LINC-101668,CGL-201668,"3001 MacLeod Trail SE, Calgary, AB",Tuscany,Townhouse,4,1.8,763682,1995,2870
LINC-101669,CGL-201669,"6057 MacLeod Trail SE, Calgary, AB",Seton,Townhouse,5,2.3,911679,1971,650
LINC-101670,CGL-201670,"9688 Centre St N, Calgary, AB",Brentwood,Townhouse,5,1.6,986296,2005,1920
LINC-101671,CGL-201671,"4829 8 Ave NE, Calgary, AB",Tuscany,Townhouse,5,2.7,1029230,1984,871
LINC-101672,CGL-201672,"8509 Memorial Dr NE, Calgary, AB",Brentwood,Condo,2,2.4,282975,1964,2617
LINC-101673,CGL-201673,"3154 Centre St N, Calgary, AB",Brentwood,Condo,5,2.0,841155,1998,3196
LINC-101674,CGL-201674,"9740 17 Ave SW, Calgary, AB",Tuscany,Townhouse,1,2.9,1161557,1951,1150
LINC-101675,CGL-201675,"7004 Centre St N, Calgary, AB",Tuscany,Condo,1,1.6,625394,1989,1166
LINC-101676,CGL-201676,"7748 Crowchild Trail NW, Calgary, AB",Brentwood,Detached,4,3.4,728617,2023,3344
LINC-101677,CGL-201677,"7226 Elbow Dr SW, Calgary, AB",Mahogany,Condo,2,1.8,641344,1993,2476
LINC-101678,CGL-201678,"6672 MacLeod Trail SE, Calgary, AB",Beltline,Detached,5,1.3,696582,1984,2865
LINC-101679,CGL-201679,"6665 Crowchild Trail NW, Calgary, AB",Beltline,Detached,5,1.5,565183,2017,1312
LINC-101680,CGL-201680,"9405 Memorial Dr NE, Calgary, AB",Brentwood,Detached,3,3.4,306413,1961,1766
LINC-101681,CGL-201681,"2417 Memorial Dr NE, Calgary, AB",Tuscany,Condo,4,1.5,250884,1968,1320
LINC-101682,CGL-201682,"2919 MacLeod Trail SE, Calgary, AB",Tuscany,Detached,2,1.7,463198,2005,869
LINC-101683,CGL-201683,"4109 8 Ave NE, Calgary, AB",Panorama Hills,Townhouse,3,1.0,417069,1994,909
LINC-101684,CGL-201684,"7813 Crowchild Trail NW, Calgary, AB",Panorama Hills,Condo,2,3.7,950906,1998,2398
LINC-101685,CGL-201685,"4077 Memorial Dr NE, Calgary, AB",Beltline,Condo,2,2.0,390012,2001,1839
LINC-101686,CGL-201686,"4739 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,4,2.8,810060,1959,1920
LINC-101687,CGL-201687,"8100 Elbow Dr SW, Calgary, AB",Panorama Hills,Townhouse,1,1.7,888081,1972,1463
LINC-101688,CGL-201688,"6147 MacLeod Trail SE, Calgary, AB",Tuscany,Townhouse,1,2.8,1038198,2000,816
LINC-101689,CGL-201689,"3869 8 Ave NE, Calgary, AB",Mahogany,Detached,1,1.6,706550,1961,1890
LINC-101690,CGL-201690,"6392 Elbow Dr SW, Calgary, AB",Brentwood,Condo,2,1.9,655605,2011,642
LINC-101691,CGL-201691,"4376 Centre St N, Calgary, AB",Brentwood,Detached,4,3.0,1124756,1963,2404
LINC-101692,CGL-201692,"1453 MacLeod Trail SE, Calgary, AB",Panorama Hills,Townhouse,1,3.0,674121,1951,1158
LINC-101693,CGL-201693,"5326 8 Ave NE, Calgary, AB",Signal Hill,Townhouse,4,3.1,262151,2012,3178
LINC-101694,CGL-201694,"6681 Centre St N, Calgary, AB",Seton,Detached,3,2.3,1028111,1964,2972
LINC-101695,CGL-201695,"7477 Crowchild Trail NW, Calgary, AB",Tuscany,Condo,3,3.5,632585,1964,1232
LINC-101696,CGL-201696,"7047 Crowchild Trail NW, Calgary, AB",Seton,Condo,1,1.5,603491,1983,1309
LINC-101697,CGL-201697,"8536 Memorial Dr NE, Calgary, AB",Signal Hill,Townhouse,4,2.3,737339,1986,663
LINC-101698,CGL-201698,"2091 Memorial Dr NE, Calgary, AB",Mahogany,Condo,3,1.2,878441,1997,1533
LINC-101699,CGL-201699,"7074 MacLeod Trail SE, Calgary, AB",Panorama Hills,Condo,1,2.6,437410,1987,1961
LINC-101700,CGL-201700,"6933 17 Ave SW, Calgary, AB",Mahogany,Condo,3,2.9,874719,1964,1963
LINC-101701,CGL-201701,"699 Crowchild Trail NW, Calgary, AB",Panorama Hills,Condo,2,1.5,810972,1962,1016
LINC-101702,CGL-201702,"2469 Elbow Dr SW, Calgary, AB",Mahogany,Condo,3,2.0,730280,1981,2644
LINC-101703,CGL-201703,"9423 Centre St N, Calgary, AB",Beltline,Detached,3,2.1,403878,1962,2064
LINC-101704,CGL-201704,"8498 Elbow Dr SW, Calgary, AB",Beltline,Condo,3,2.3,273470,1973,1552
LINC-101705,CGL-201705,"1398 Memorial Dr NE, Calgary, AB",Mahogany,Detached,2,2.7,567929,2015,2708
LINC-101706,CGL-201706,"4093 Elbow Dr SW, Calgary, AB",Seton,Detached,3,2.7,475663,2005,1625
LINC-101707,CGL-201707,"3142 MacLeod Trail SE, Calgary, AB",Signal Hill,Townhouse,1,2.8,440065,1986,1616
LINC-101708,CGL-201708,"182 Centre St N, Calgary, AB",Brentwood,Detached,4,3.0,538115,1984,2394
LINC-101709,CGL-201709,"9915 Memorial Dr NE, Calgary, AB",Panorama Hills,Condo,1,1.7,268950,1991,1405
LINC-101710,CGL-201710,"1144 Crowchild Trail NW, Calgary, AB",Tuscany,Townhouse,5,3.5,866472,2003,3100
LINC-101711,CGL-201711,"9852 MacLeod Trail SE, Calgary, AB",Signal Hill,Condo,4,3.8,263177,1993,1895
LINC-101712,CGL-201712,"5337 MacLeod Trail SE, Calgary, AB",Seton,Condo,2,2.4,1028642,2013,1362
LINC-101713,CGL-201713,"8820 Elbow Dr SW, Calgary, AB",Brentwood,Townhouse,4,1.8,283833,2023,821
LINC-101714,CGL-201714,"8071 Crowchild Trail NW, Calgary, AB",Tuscany,Detached,2,3.2,805317,1997,1745
LINC-101715,CGL-201715,"4881 Memorial Dr NE, Calgary, AB",Tuscany,Condo,4,1.1,905216,1971,3056
LINC-101716,CGL-201716,"5861 Crowchild Trail NW, Calgary, AB",Mahogany,Condo,1,3.3,547677,2021,2510
LINC-101717,CGL-201717,"3945 Centre St N, Calgary, AB",Signal Hill,Detached,4,2.8,1140941,1965,897
LINC-101718,CGL-201718,"6583 8 Ave NE, Calgary, AB",Brentwood,Detached,5,1.9,1156906,1970,2142
LINC-101719,CGL-201719,"9112 Centre St N, Calgary, AB",Tuscany,Detached,4,3.7,542426,1990,1987
LINC-101720,CGL-201720,"1830 Elbow Dr SW, Calgary, AB",Panorama Hills,Townhouse,3,2.5,808375,2000,1422
LINC-101721,CGL-201721,"6718 Centre St N, Calgary, AB",Seton,Condo,3,3.5,721288,1970,1227
LINC-101722,CGL-201722,"6654 MacLeod Trail SE, Calgary, AB",Beltline,Townhouse,3,3.3,938065,1972,3299
LINC-101723,CGL-201723,"1710 Centre St N, Calgary, AB",Signal Hill,Townhouse,4,3.9,680224,1974,3106
LINC-101724,CGL-201724,"575 Crowchild Trail NW, Calgary, AB",Brentwood,Detached,5,2.9,334416,2023,3498
LINC-101725,CGL-201725,"6797 17 Ave SW, Calgary, AB",Tuscany,Townhouse,2,1.5,905879,2010,3303
LINC-101726,CGL-201726,"1590 MacLeod Trail SE, Calgary, AB",Beltline,Townhouse,5,3.7,935890,1999,2761
LINC-101727,CGL-201727,"8477 Memorial Dr NE, Calgary, AB",Brentwood,Detached,4,2.1,1167137,1980,1217
